id	SRR11961372	SRR11961374	SRR11961376	SRR11961380	SRR11961381	SRR11961383	SRR11961389	SRR11961391	SRR11961392	SRR11961394	SRR11961398	SRR11961400	SRR11961402	SRR11961405	SRR11961407	SRR11961411	SRR11961413	SRR11961425	SRR11961436	SRR11961446	SRR11961448	SRR11961452	SRR11961453	SRR11961457	SRR11961458	SRR11961459
Group	none	adult acne	perioral dermatitis	adult acne	none	perioral dermatitis	adult acne	perioral dermatitis	none	perioral dermatitis	perioral dermatitis	adult acne	adult acne	adult acne	perioral dermatitis	perioral dermatitis	adult acne	none	none	none	none	none	none	none	none	none
OTU_167	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_168	0	0	0	0	0	0	0	0	0	0	0	0	211	0	9	0	0	0	0	30	0	0	0	0	37	0
OTU_169	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_170	0	0	0	0	0	183	0	0	0	9	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0
OTU_171	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_172	0	6	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258
OTU_173	0	12	0	23	0	54	0	16	0	27	4	0	0	0	20	71	0	8	0	0	0	0	0	34	0	0
OTU_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0
OTU_175	0	0	0	257	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_176	131	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0
OTU_178	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_179	0	0	0	0	0	0	0	0	0	0	71	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_180	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_181	0	33	0	0	0	87	0	0	0	0	51	0	50	0	0	0	0	0	0	0	0	0	0	17	0	0
OTU_182	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	0	0	0	0	0	219	0	0
OTU_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0
OTU_184	106	0	0	0	0	0	99	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_185	0	0	29	0	0	23	11	43	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0
OTU_186	0	0	28	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
OTU_187	0	0	0	0	0	211	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_188	0	0	0	44	0	0	0	0	6	0	0	0	0	54	0	0	0	0	0	118	0	0	0	0	0	0
OTU_189	0	0	0	0	0	0	39	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0
OTU_190	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0
OTU_192	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_193	0	0	201	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	40	0
OTU_195	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_196	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_197	0	0	0	0	0	15	55	0	0	0	0	0	0	0	58	81	0	0	0	0	0	0	0	0	0	0
OTU_198	0	0	0	0	0	0	0	0	0	0	0	105	0	89	0	15	0	0	0	0	0	0	0	0	0	0
OTU_199	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0
OTU_200	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_201	0	0	0	0	122	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_202	0	15	0	0	23	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	84	0	0
OTU_203	99	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0
OTU_205	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_206	27	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	74	0	0	0	0	0
OTU_207	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
OTU_208	0	47	50	0	0	0	0	0	0	0	41	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
OTU_209	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_210	0	0	0	0	0	53	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_211	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
