Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
WIF1|11197	1	1	0	0	2	1	0	0	30.2027	1422.2222	95.5336	10.1833
WIPF1|7456	2432	845	272	337	492	735	420.1391	1340.8885	1455.5234	902.2222	1425.4819	1923.1161
WIPF2|147179	665	1771	840	562	510	524	1931.1234	1519.4923	630.5337	970.1587	1125.717	1252.5458
WIPF3|644150	16	3	30	6	2	21	13.4417	4.5331	13.6533	43.4921	18.8058	4.0733
WIPI1|55062	928	887	819	474	292	943	173.0187	805.0771	2358.7091	1119.6825	964.363	970.4684
WIPI2|26100	2563	3639	2424	2192	1267	2258	1596.4597	1658.2049	1466.6942	1797.1429	2131.0766	1955.1935
WISP1|8840	19	29	5	60	30	42	146.1353	188.5766	779.4787	40.6349	12.788	29.0224
WISP2|8839	27	21	10	15	51	61	67.8978	937.4433	590.4013	999.3651	2274.7532	3752.5458
WISP3|8838	3	4	1	7	0	3	1.3786	0	10.3434	51.4286	19.9342	2.5458
WIT1|51352	0	0	0	0	2	1	0	0	0.4137	0	0.7522	0
